date,standardized_s,threshold_type,threshold_val,weight_type
2020-02-04,1.1988694804566053e-6,r,0.4,mixed_active
2020-02-05,1.2727569854581064e-6,r,0.4,mixed_active
2020-02-06,1.2502673629430358e-6,r,0.4,mixed_active
2020-02-07,1.2501805267298739e-6,r,0.4,mixed_active
2020-02-08,1.5056197179938099e-6,r,0.4,mixed_active
2020-02-09,1.487446888899231e-6,r,0.4,mixed_active
2020-02-10,1.5854146518183492e-6,r,0.4,mixed_active
2020-02-11,1.1321682641624954e-6,r,0.4,mixed_active
2020-02-12,9.9408931175361e-7,r,0.4,mixed_active
2020-02-13,1.6538530678243217e-6,r,0.4,mixed_active
2020-02-14,9.531823919209591e-7,r,0.4,mixed_active
2020-02-15,1.832067217028931e-6,r,0.4,mixed_active
2020-02-16,1.670046369150521e-6,r,0.4,mixed_active
2020-02-17,1.2204043983719733e-6,r,0.4,mixed_active
2020-02-18,9.069297635062621e-7,r,0.4,mixed_active
2020-02-19,1.3727508623391197e-6,r,0.4,mixed_active
2020-02-20,2.9335305247568935e-6,r,0.4,mixed_active
2020-02-21,3.4910691665118723e-6,r,0.4,mixed_active
2020-02-22,4.512067553151514e-6,r,0.4,mixed_active
2020-02-23,4.7282027417281675e-6,r,0.4,mixed_active
2020-02-24,7.532454191227972e-6,r,0.4,mixed_active
2020-02-25,1.3289106933572092e-5,r,0.4,mixed_active
2020-02-26,4.9749825192519074e-5,r,0.4,mixed_active
2020-02-27,2.941628471216658e-5,r,0.4,mixed_active
2020-02-28,3.9570901716707415e-5,r,0.4,mixed_active
2020-02-29,7.097164674729364e-5,r,0.4,mixed_active
2020-03-01,1.0792438626604372e-4,r,0.4,mixed_active
2020-03-02,1.2890264543120714e-4,r,0.4,mixed_active
2020-03-03,1.5129322475476852e-4,r,0.4,mixed_active
2020-03-04,1.7172956412124152e-4,r,0.4,mixed_active
2020-03-05,2.224652593269322e-4,r,0.4,mixed_active
2020-03-06,2.812883089422701e-4,r,0.4,mixed_active
2020-03-07,3.291268618571343e-4,r,0.4,mixed_active
2020-03-08,3.738052504335228e-4,r,0.4,mixed_active
2020-03-09,3.6499902227005366e-4,r,0.4,mixed_active
2020-03-10,6.013816307326694e-4,r,0.4,mixed_active
2020-03-11,7.66688255402273e-4,r,0.4,mixed_active
2020-03-12,8.463963858931155e-4,r,0.4,mixed_active
2020-03-13,0.0010359668996056768,r,0.4,mixed_active
2020-03-14,0.0011567976230734875,r,0.4,mixed_active
2020-03-15,0.0014168680741508,r,0.4,mixed_active
2020-03-16,0.0014246158806225434,r,0.4,mixed_active
2020-03-17,0.001953239609259548,r,0.4,mixed_active
2020-03-18,0.0034471848930874784,r,0.4,mixed_active
2020-03-19,0.004556620223807357,r,0.4,mixed_active
2020-03-20,0.0045845269870772865,r,0.4,mixed_active
2020-03-21,0.005997033939426314,r,0.4,mixed_active
2020-03-22,0.006047437684439652,r,0.4,mixed_active
2020-03-23,0.005371873090731805,r,0.4,mixed_active
2020-03-24,0.005804064459681462,r,0.4,mixed_active
2020-03-25,0.0068751582718413065,r,0.4,mixed_active
2020-03-26,0.00725981046278627,r,0.4,mixed_active
2020-03-27,0.01027548469128901,r,0.4,mixed_active
2020-03-28,0.01003046333749763,r,0.4,mixed_active
2020-03-29,0.010898530862960883,r,0.4,mixed_active
2020-03-30,0.016568538467587282,r,0.4,mixed_active
2020-03-31,0.015029637033640929,r,0.4,mixed_active
2020-04-01,0.016064651610876095,r,0.4,mixed_active
2020-04-02,0.01716359568815643,r,0.4,mixed_active
2020-04-03,0.018208192508987437,r,0.4,mixed_active
2020-04-04,0.018736675126696342,r,0.4,mixed_active
2020-04-05,0.0174645409879866,r,0.4,mixed_active
2020-04-06,0.022104675911787188,r,0.4,mixed_active
2020-04-07,0.02110155457943754,r,0.4,mixed_active
2020-04-08,0.022368534508471226,r,0.4,mixed_active
2020-04-09,0.030336854372392814,r,0.4,mixed_active
2020-04-10,0.04712438859697654,r,0.4,mixed_active
2020-04-11,0.04820886018165222,r,0.4,mixed_active
2020-04-12,0.05403382927288876,r,0.4,mixed_active
2020-04-13,0.05181734103223445,r,0.4,mixed_active
2020-04-14,0.04995611374363029,r,0.4,mixed_active
2020-04-15,0.04880096331167386,r,0.4,mixed_active
2020-04-16,0.049371272737687176,r,0.4,mixed_active
2020-04-17,0.04928474560564346,r,0.4,mixed_active
2020-04-18,0.056501240190951006,r,0.4,mixed_active
2020-04-19,0.05762323538998889,r,0.4,mixed_active
2020-04-20,0.01789620194663067,r,0.4,mixed_active
2020-04-21,0.024450556897725437,r,0.4,mixed_active
2020-04-22,0.02119809374629517,r,0.4,mixed_active
2020-04-23,0.021268035171558668,r,0.4,mixed_active
2020-04-24,0.020793550716163078,r,0.4,mixed_active
2020-04-25,0.017875585608655,r,0.4,mixed_active
2020-04-26,0.022575079283131953,r,0.4,mixed_active
2020-04-27,0.06622767665464926,r,0.4,mixed_active
2020-04-28,0.024603192892557742,r,0.4,mixed_active
2020-04-29,0.01616845503034524,r,0.4,mixed_active
2020-04-30,0.022838453972340213,r,0.4,mixed_active
2020-05-01,0.004988567275924504,r,0.4,mixed_active
2020-05-02,0.005136906368560714,r,0.4,mixed_active
2020-05-03,0.004417890881761236,r,0.4,mixed_active
2020-05-04,0.0041198438349489335,r,0.4,mixed_active
2020-05-05,0.01003901836676567,r,0.4,mixed_active
2020-05-06,0.010319892124872077,r,0.4,mixed_active
2020-05-07,0.011255911798827106,r,0.4,mixed_active
2020-05-08,0.0035414146846402196,r,0.4,mixed_active
2020-05-09,0.004945633612899024,r,0.4,mixed_active
2020-05-10,0.004816236981279873,r,0.4,mixed_active
2020-05-11,0.005323010987631976,r,0.4,mixed_active
2020-05-12,0.0047692972998809825,r,0.4,mixed_active
2020-05-13,0.005647910427709252,r,0.4,mixed_active
2020-05-14,0.00585377628872833,r,0.4,mixed_active
2020-05-15,0.006731707235721234,r,0.4,mixed_active
2020-05-16,0.00724832207851967,r,0.4,mixed_active
2020-05-17,0.00801784233547107,r,0.4,mixed_active
2020-05-18,0.019017144872634856,r,0.4,mixed_active
2020-05-19,0.016561016962273734,r,0.4,mixed_active
2020-05-20,0.01638738675324685,r,0.4,mixed_active
2020-05-21,0.015826359726745322,r,0.4,mixed_active
2020-05-22,0.015973784412721563,r,0.4,mixed_active
2020-05-23,0.015522475293037104,r,0.4,mixed_active
2020-05-24,0.015984906620325718,r,0.4,mixed_active
2020-05-25,0.022699653789342748,r,0.4,mixed_active
2020-05-26,0.014841083856819199,r,0.4,mixed_active
2020-05-27,0.012426656169585498,r,0.4,mixed_active
2020-05-28,0.012610273644359694,r,0.4,mixed_active
2020-05-29,0.013000746681540179,r,0.4,mixed_active
