date,standardized_s,threshold_type,threshold_val,weight_type
2020-02-04,9.518638835977485e-7,r,0.5,mixed_active
2020-02-05,9.00619392360334e-7,r,0.5,mixed_active
2020-02-06,7.931376668254503e-7,r,0.5,mixed_active
2020-02-07,7.97956349606831e-7,r,0.5,mixed_active
2020-02-08,7.92980701324509e-7,r,0.5,mixed_active
2020-02-09,9.345570916255868e-7,r,0.5,mixed_active
2020-02-10,8.266970215147743e-7,r,0.5,mixed_active
2020-02-11,8.644862863264057e-7,r,0.5,mixed_active
2020-02-12,7.126598761439511e-7,r,0.5,mixed_active
2020-02-13,6.452003944507473e-7,r,0.5,mixed_active
2020-02-14,5.984340529264769e-7,r,0.5,mixed_active
2020-02-15,1.3878308060491178e-6,r,0.5,mixed_active
2020-02-16,1.4008614601539558e-6,r,0.5,mixed_active
2020-02-17,6.839340960564317e-7,r,0.5,mixed_active
2020-02-18,4.2687128435615243e-7,r,0.5,mixed_active
2020-02-19,4.6936872560284934e-7,r,0.5,mixed_active
2020-02-20,5.234767844336783e-7,r,0.5,mixed_active
2020-02-21,1.0404268991657308e-6,r,0.5,mixed_active
2020-02-22,2.815244794838569e-6,r,0.5,mixed_active
2020-02-23,3.050684379950907e-6,r,0.5,mixed_active
2020-02-24,4.4753324533792014e-6,r,0.5,mixed_active
2020-02-25,6.171070502656867e-6,r,0.5,mixed_active
2020-02-26,4.1014495029825126e-5,r,0.5,mixed_active
2020-02-27,2.6332046546738955e-5,r,0.5,mixed_active
2020-02-28,2.8121369565363755e-5,r,0.5,mixed_active
2020-02-29,6.17671598471033e-5,r,0.5,mixed_active
2020-03-01,7.182404804893947e-5,r,0.5,mixed_active
2020-03-02,9.947106581727315e-5,r,0.5,mixed_active
2020-03-03,1.3154257709603647e-4,r,0.5,mixed_active
2020-03-04,1.264848628187266e-4,r,0.5,mixed_active
2020-03-05,1.4800712929839122e-4,r,0.5,mixed_active
2020-03-06,2.0881504111327755e-4,r,0.5,mixed_active
2020-03-07,2.5737499450013095e-4,r,0.5,mixed_active
2020-03-08,2.3871476082892523e-4,r,0.5,mixed_active
2020-03-09,2.4343870682689322e-4,r,0.5,mixed_active
2020-03-10,2.6013069473639587e-4,r,0.5,mixed_active
2020-03-11,3.5540882801754394e-4,r,0.5,mixed_active
2020-03-12,3.627752577364035e-4,r,0.5,mixed_active
2020-03-13,3.838293036532396e-4,r,0.5,mixed_active
2020-03-14,6.556387300641538e-4,r,0.5,mixed_active
2020-03-15,8.25501159022437e-4,r,0.5,mixed_active
2020-03-16,0.001032370133419118,r,0.5,mixed_active
2020-03-17,0.0012803355018984946,r,0.5,mixed_active
2020-03-18,0.0026825398994238508,r,0.5,mixed_active
2020-03-19,0.0026182643699226697,r,0.5,mixed_active
2020-03-20,0.0034787157282511025,r,0.5,mixed_active
2020-03-21,0.0032242418995684532,r,0.5,mixed_active
2020-03-22,0.004120214972989401,r,0.5,mixed_active
2020-03-23,0.003720548793660147,r,0.5,mixed_active
2020-03-24,0.004078421580758044,r,0.5,mixed_active
2020-03-25,0.004214646962592194,r,0.5,mixed_active
2020-03-26,0.004242413200582877,r,0.5,mixed_active
2020-03-27,0.0047519656784640735,r,0.5,mixed_active
2020-03-28,0.005267944973319837,r,0.5,mixed_active
2020-03-29,0.006366647834102096,r,0.5,mixed_active
2020-03-30,0.006175602940196739,r,0.5,mixed_active
2020-03-31,0.00849985477032754,r,0.5,mixed_active
2020-04-01,0.009763781089853674,r,0.5,mixed_active
2020-04-02,0.01123002499131328,r,0.5,mixed_active
2020-04-03,0.012525587357923548,r,0.5,mixed_active
2020-04-04,0.01099652319143648,r,0.5,mixed_active
2020-04-05,0.011717220787720901,r,0.5,mixed_active
2020-04-06,0.011880949954044748,r,0.5,mixed_active
2020-04-07,0.014022960444712847,r,0.5,mixed_active
2020-04-08,0.015154765585531384,r,0.5,mixed_active
2020-04-09,0.0201726272903307,r,0.5,mixed_active
2020-04-10,0.04061063072375425,r,0.5,mixed_active
2020-04-11,0.041167997383677095,r,0.5,mixed_active
2020-04-12,0.04495162250695556,r,0.5,mixed_active
2020-04-13,0.04605281546182008,r,0.5,mixed_active
2020-04-14,0.01448591074482381,r,0.5,mixed_active
2020-04-15,0.03637482662412688,r,0.5,mixed_active
2020-04-16,0.040632271482737875,r,0.5,mixed_active
2020-04-17,0.036450646954930825,r,0.5,mixed_active
2020-04-18,0.009215773835600948,r,0.5,mixed_active
2020-04-19,0.008760727661142657,r,0.5,mixed_active
2020-04-20,0.009276365279120378,r,0.5,mixed_active
2020-04-21,0.01134755384882092,r,0.5,mixed_active
2020-04-22,0.009433389614386585,r,0.5,mixed_active
2020-04-23,0.009885307025613342,r,0.5,mixed_active
2020-04-24,0.009587557874993312,r,0.5,mixed_active
2020-04-25,0.010905181633646068,r,0.5,mixed_active
2020-04-26,0.012955534512889767,r,0.5,mixed_active
2020-04-27,0.018171334238224267,r,0.5,mixed_active
2020-04-28,0.011108294264641718,r,0.5,mixed_active
2020-04-29,0.008825967292521473,r,0.5,mixed_active
2020-04-30,0.013503618703889176,r,0.5,mixed_active
2020-05-01,0.004698951622948452,r,0.5,mixed_active
2020-05-02,0.004569104649191022,r,0.5,mixed_active
2020-05-03,0.0051148114137899965,r,0.5,mixed_active
2020-05-04,0.004861464616837883,r,0.5,mixed_active
2020-05-05,0.0034496910501245317,r,0.5,mixed_active
2020-05-06,0.0035657471197916976,r,0.5,mixed_active
2020-05-07,0.004275555167154071,r,0.5,mixed_active
2020-05-08,0.003663327769590422,r,0.5,mixed_active
2020-05-09,0.004877042905614383,r,0.5,mixed_active
2020-05-10,0.003440398449718054,r,0.5,mixed_active
2020-05-11,0.004939764641165388,r,0.5,mixed_active
2020-05-12,0.0045966115966757344,r,0.5,mixed_active
2020-05-13,0.005325420960550469,r,0.5,mixed_active
2020-05-14,0.005826545004511885,r,0.5,mixed_active
2020-05-15,0.006080082008563472,r,0.5,mixed_active
2020-05-16,0.00664554855240328,r,0.5,mixed_active
2020-05-17,0.006406723537234983,r,0.5,mixed_active
2020-05-18,0.00919993736890026,r,0.5,mixed_active
2020-05-19,0.017374934839811715,r,0.5,mixed_active
2020-05-20,0.012515002897762893,r,0.5,mixed_active
2020-05-21,0.01691450695655576,r,0.5,mixed_active
2020-05-22,0.014663517171356614,r,0.5,mixed_active
2020-05-23,0.019050645266439063,r,0.5,mixed_active
2020-05-24,0.020028954143651707,r,0.5,mixed_active
2020-05-25,0.01614131303576775,r,0.5,mixed_active
2020-05-26,0.011989075241874677,r,0.5,mixed_active
2020-05-27,0.01321013394748038,r,0.5,mixed_active
2020-05-28,0.010485159756801789,r,0.5,mixed_active
2020-05-29,0.014848992669939314,r,0.5,mixed_active
2020-05-30,0.03068206995262401,r,0.5,mixed_active
2020-05-31,0.013455718953346631,r,0.5,mixed_active
2020-06-01,0.006511798607242097,r,0.5,mixed_active
2020-06-02,0.006081967496974969,r,0.5,mixed_active
2020-06-03,0.0051515942578237136,r,0.5,mixed_active
2020-06-04,0.0052192470347117645,r,0.5,mixed_active
2020-06-05,0.005577145673025633,r,0.5,mixed_active
2020-06-06,0.005479931291761591,r,0.5,mixed_active
2020-06-07,0.00790224351780039,r,0.5,mixed_active
2020-06-08,0.010008546474391977,r,0.5,mixed_active
2020-06-09,0.013447999658225443,r,0.5,mixed_active
2020-06-10,0.013937200725558582,r,0.5,mixed_active
2020-06-11,0.015133027838543145,r,0.5,mixed_active
2020-06-12,0.012125009557572416,r,0.5,mixed_active
2020-06-13,0.019191764053326725,r,0.5,mixed_active
2020-06-14,0.01697328675189297,r,0.5,mixed_active
2020-06-15,0.021393797493868456,r,0.5,mixed_active
2020-06-16,0.016887297834964413,r,0.5,mixed_active
2020-06-17,0.013918891942118648,r,0.5,mixed_active
2020-06-18,0.01347469253339702,r,0.5,mixed_active
2020-06-19,0.012468300381755415,r,0.5,mixed_active
2020-06-20,0.03975924055092237,r,0.5,mixed_active
2020-06-21,0.04404500713231721,r,0.5,mixed_active
2020-06-22,0.04580589589823689,r,0.5,mixed_active
2020-06-23,0.04505274886354306,r,0.5,mixed_active
2020-06-24,0.06413725548560006,r,0.5,mixed_active
2020-06-25,0.06662956918333025,r,0.5,mixed_active
2020-06-26,0.06705657201425223,r,0.5,mixed_active
2020-06-27,0.06796781041541312,r,0.5,mixed_active
2020-06-28,0.07087695742992749,r,0.5,mixed_active
2020-06-29,0.07327827378820834,r,0.5,mixed_active
2020-06-30,0.06988766255781519,r,0.5,mixed_active
2020-07-01,0.04935065140592128,r,0.5,mixed_active
2020-07-02,0.07018940693203113,r,0.5,mixed_active
2020-07-03,0.06509853570329649,r,0.5,mixed_active
2020-07-04,0.047648990261914506,r,0.5,mixed_active
2020-07-05,0.026370996124912897,r,0.5,mixed_active
2020-07-06,0.08397700934543649,r,0.5,mixed_active
2020-07-07,0.08082969680688674,r,0.5,mixed_active
2020-07-08,0.08365189915291858,r,0.5,mixed_active
2020-07-09,0.09168089239434457,r,0.5,mixed_active
2020-07-10,0.08531914246316397,r,0.5,mixed_active
2020-07-11,0.08649125108841303,r,0.5,mixed_active
2020-07-12,0.09188580619321908,r,0.5,mixed_active
2020-07-13,0.09855726550490478,r,0.5,mixed_active
2020-07-14,0.08833802127790723,r,0.5,mixed_active
2020-07-15,0.09795448239195118,r,0.5,mixed_active
2020-07-16,0.09484327960050859,r,0.5,mixed_active
2020-07-17,0.10064986161863972,r,0.5,mixed_active
2020-07-18,0.09251141267277094,r,0.5,mixed_active
2020-07-19,0.10917223342889897,r,0.5,mixed_active
2020-07-20,0.042979019543577766,r,0.5,mixed_active
2020-07-21,0.03990425703381804,r,0.5,mixed_active
2020-07-22,0.059964123011952614,r,0.5,mixed_active
2020-07-23,0.10171013028378781,r,0.5,mixed_active
2020-07-24,0.10704072877995253,r,0.5,mixed_active
2020-07-25,0.10180070654578939,r,0.5,mixed_active
2020-07-26,0.06860605929243238,r,0.5,mixed_active
2020-07-27,0.06422253595091569,r,0.5,mixed_active
2020-07-28,0.051414892346062384,r,0.5,mixed_active
2020-07-29,0.06194463805741443,r,0.5,mixed_active
2020-07-30,0.06551417267187573,r,0.5,mixed_active
2020-07-31,0.1090403827918482,r,0.5,mixed_active
2020-08-01,0.06773271093206085,r,0.5,mixed_active
2020-08-02,0.11334504441697588,r,0.5,mixed_active
2020-08-03,0.11928676777875925,r,0.5,mixed_active
2020-08-04,0.11100066575782058,r,0.5,mixed_active
2020-08-05,0.10673487965039398,r,0.5,mixed_active
2020-08-06,0.10159483999623128,r,0.5,mixed_active
2020-08-07,0.06070030725654511,r,0.5,mixed_active
2020-08-08,0.09916708323857432,r,0.5,mixed_active
2020-08-09,0.1080663579763796,r,0.5,mixed_active
2020-08-10,0.1294843139872334,r,0.5,mixed_active
2020-08-11,0.07501975770677613,r,0.5,mixed_active
2020-08-12,0.0926303067244002,r,0.5,mixed_active
2020-08-13,0.0970229983495531,r,0.5,mixed_active
2020-08-14,0.09147368593038095,r,0.5,mixed_active
2020-08-15,0.09643310382157147,r,0.5,mixed_active
2020-08-16,0.10457140363305129,r,0.5,mixed_active
2020-08-17,0.09693105626581819,r,0.5,mixed_active
2020-08-18,0.08161543743942065,r,0.5,mixed_active
2020-08-19,0.07403411835878307,r,0.5,mixed_active
2020-08-20,0.09001465764284391,r,0.5,mixed_active
2020-08-21,0.09098947650483005,r,0.5,mixed_active
2020-08-22,0.08631953570101433,r,0.5,mixed_active
2020-08-23,0.05991488451586782,r,0.5,mixed_active
2020-08-24,0.05879682434003829,r,0.5,mixed_active
2020-08-25,0.05557483019911469,r,0.5,mixed_active
2020-08-26,0.04668720121333352,r,0.5,mixed_active
2020-08-27,0.04852205239587115,r,0.5,mixed_active
2020-08-28,0.04330652730565008,r,0.5,mixed_active
2020-08-29,0.05040694567305632,r,0.5,mixed_active
2020-08-30,0.044780224705244995,r,0.5,mixed_active
2020-08-31,0.054024088366393774,r,0.5,mixed_active
2020-09-01,0.07353264356199123,r,0.5,mixed_active
2020-09-02,0.05579454800447498,r,0.5,mixed_active
2020-09-03,0.05231959810358284,r,0.5,mixed_active
2020-09-04,0.05398123310283572,r,0.5,mixed_active
2020-09-05,0.05383245316982737,r,0.5,mixed_active
2020-09-06,0.08541408401858845,r,0.5,mixed_active
2020-09-07,0.12761794463698584,r,0.5,mixed_active
2020-09-08,0.08932650217433849,r,0.5,mixed_active
2020-09-09,0.0844120136717674,r,0.5,mixed_active
2020-09-10,0.08178930195629978,r,0.5,mixed_active
2020-09-11,0.08343619664629866,r,0.5,mixed_active
2020-09-12,0.0836670954935231,r,0.5,mixed_active
2020-09-13,0.0899607728052267,r,0.5,mixed_active
2020-09-14,0.09250855321710678,r,0.5,mixed_active
2020-09-15,0.08023226821060125,r,0.5,mixed_active
2020-09-16,0.08078639456365037,r,0.5,mixed_active
2020-09-17,0.08132967338792077,r,0.5,mixed_active
2020-09-18,0.08308621651456007,r,0.5,mixed_active
2020-09-19,0.0867378343214459,r,0.5,mixed_active
2020-09-20,0.10971937838034894,r,0.5,mixed_active
2020-09-21,0.09758728526549054,r,0.5,mixed_active
2020-09-22,0.0994888570446591,r,0.5,mixed_active
2020-09-23,0.11228569001714936,r,0.5,mixed_active
2020-09-24,0.09298710074033198,r,0.5,mixed_active
2020-09-25,0.09229868753981856,r,0.5,mixed_active
2020-09-26,0.08885867487083775,r,0.5,mixed_active
2020-09-27,0.09252702474859771,r,0.5,mixed_active
2020-09-28,0.13388333514537165,r,0.5,mixed_active
2020-09-29,0.08435297365442056,r,0.5,mixed_active
2020-09-30,0.12819133636595245,r,0.5,mixed_active
2020-10-01,0.1331170359046768,r,0.5,mixed_active
2020-10-02,0.13749067252524091,r,0.5,mixed_active
2020-10-03,0.14432388687232453,r,0.5,mixed_active
2020-10-04,0.09278069472232989,r,0.5,mixed_active
2020-10-05,0.13857129427092718,r,0.5,mixed_active
2020-10-06,0.1415473315385477,r,0.5,mixed_active
2020-10-07,0.1304990067677899,r,0.5,mixed_active
2020-10-08,0.09114122533704333,r,0.5,mixed_active
2020-10-09,0.0874887850036581,r,0.5,mixed_active
2020-10-10,0.0910903374535887,r,0.5,mixed_active
2020-10-11,0.0927833898421227,r,0.5,mixed_active
2020-10-12,0.09567643054237619,r,0.5,mixed_active
2020-10-13,0.09323467882688564,r,0.5,mixed_active
2020-10-14,0.09954900624999866,r,0.5,mixed_active
2020-10-15,0.09841552967007826,r,0.5,mixed_active
2020-10-16,0.10153176932445221,r,0.5,mixed_active
