date,num_edge,edge_density,CC_global,assortativity,threshold_val,threshold_type
2020-02-04,21,0.07608695652173914,1,1,0.6,r
2020-02-05,15,0.05434782608695652,0.7894736842105263,0.6979865771812085,0.6,r
2020-02-06,16,0.05797101449275362,0.6818181818181818,0.42857142857142855,0.6,r
2020-02-07,16,0.05797101449275362,0.6818181818181818,0.42857142857142855,0.6,r
2020-02-08,13,0.05138339920948616,0.6666666666666666,0.5027322404371587,0.6,r
2020-02-09,14,0.05533596837944665,0.631578947368421,0.6482412060301507,0.6,r
2020-02-10,13,0.05138339920948616,0.42857142857142855,0.6213592233009712,0.6,r
2020-02-11,9,0.04285714285714286,0.5,0.5000000000000002,0.6,r
2020-02-12,7,0.03333333333333333,0.6,0.29999999999999977,0.6,r
2020-02-13,9,0.04736842105263158,0.6,0.6197183098591548,0.6,r
2020-02-14,8,0.03809523809523809,0.5,0.5555555555555556,0.6,r
2020-02-15,9,0.05263157894736842,0,0.09999999999999977,0.6,r
2020-02-16,11,0.06432748538011696,0.46153846153846156,0.4811320754716978,0.6,r
2020-02-17,11,0.07189542483660132,0.46153846153846156,0.4811320754716978,0.6,r
2020-02-18,5,0.032679738562091505,0,-0.25000000000000006,0.6,r
2020-02-19,5,0.03676470588235294,0,-0.25000000000000006,0.6,r
2020-02-20,7,0.051470588235294115,0.75,0.4166666666666667,0.6,r
2020-02-21,14,0.08187134502923976,0.8571428571428571,0.7254901960784313,0.6,r
2020-02-22,12,0.07017543859649122,0.7894736842105263,0.6828193832599122,0.6,r
2020-02-23,9,0.04736842105263158,1,1,0.6,r
2020-02-24,19,0.07509881422924901,0.8936170212765957,0.4695431472081217,0.6,r
2020-02-25,29,0.08262108262108263,0.7263157894736842,0.5102222222222221,0.6,r
2020-02-26,120,0.16194331983805668,0.9781512605042016,0.9725654246522036,0.6,r
2020-02-27,133,0.14728682170542637,0.8168168168168168,0.6602652879081642,0.6,r
2020-02-28,126,0.12727272727272726,0.7317961165048543,0.5016552602260068,0.6,r
2020-02-29,124,0.1054421768707483,0.7446504992867332,0.35772368834647655,0.6,r
2020-03-01,176,0.11428571428571428,0.7936046511627907,0.6900044033465447,0.6,r
2020-03-02,300,0.13568521031207598,0.8267090620031796,0.7109092538918931,0.6,r
2020-03-03,289,0.11629778672032194,0.8147163120567376,0.7203660447997223,0.6,r
2020-03-04,308,0.10526315789473684,0.6967572304995618,0.4522249559984889,0.6,r
2020-03-05,330,0.0993676603432701,0.7096392667060911,0.5013683228271631,0.6,r
2020-03-06,356,0.09516172146484897,0.6580325158445853,0.2776186119475675,0.6,r
2020-03-07,380,0.08693662777396477,0.6772886848501215,0.28174721910094225,0.6,r
2020-03-08,326,0.06720263863121005,0.6611295681063123,0.30326785721873084,0.6,r
2020-03-09,297,0.05881188118811881,0.5513666352497644,0.2776232101040869,0.6,r
2020-03-10,370,0.06776556776556776,0.6031468531468531,0.641677869019818,0.6,r
2020-03-11,428,0.07139282735613012,0.6736862822279079,0.5601879619073455,0.6,r
2020-03-12,440,0.06953223767383059,0.6640045636052482,0.5657341567951527,0.6,r
2020-03-13,746,0.0978232362968791,0.6545281220209723,0.5557768623370033,0.6,r
2020-03-14,762,0.08813324080499653,0.6723737053477066,0.5836884513779999,0.6,r
2020-03-15,851,0.08872901678657075,0.6430550059358924,0.5297126215451163,0.6,r
