date,standardized_s,threshold_type,threshold_val,weight_type
2020-02-04,9.518638835977485e-7,r,0.5,mixed_active
2020-02-05,9.00619392360334e-7,r,0.5,mixed_active
2020-02-06,7.931376668254503e-7,r,0.5,mixed_active
2020-02-07,7.97956349606831e-7,r,0.5,mixed_active
2020-02-08,7.92980701324509e-7,r,0.5,mixed_active
2020-02-09,9.345570916255868e-7,r,0.5,mixed_active
2020-02-10,8.266970215147743e-7,r,0.5,mixed_active
2020-02-11,8.644862863264057e-7,r,0.5,mixed_active
2020-02-12,7.126598761439511e-7,r,0.5,mixed_active
2020-02-13,6.452003944507473e-7,r,0.5,mixed_active
2020-02-14,5.984340529264769e-7,r,0.5,mixed_active
2020-02-15,1.3878308060491178e-6,r,0.5,mixed_active
2020-02-16,1.4008614601539558e-6,r,0.5,mixed_active
2020-02-17,6.839340960564317e-7,r,0.5,mixed_active
2020-02-18,4.2687128435615243e-7,r,0.5,mixed_active
2020-02-19,4.6936872560284934e-7,r,0.5,mixed_active
2020-02-20,5.234767844336783e-7,r,0.5,mixed_active
2020-02-21,1.0404268991657308e-6,r,0.5,mixed_active
2020-02-22,2.815244794838569e-6,r,0.5,mixed_active
2020-02-23,3.050684379950907e-6,r,0.5,mixed_active
2020-02-24,4.4753324533792014e-6,r,0.5,mixed_active
2020-02-25,6.171070502656867e-6,r,0.5,mixed_active
2020-02-26,4.1014495029825126e-5,r,0.5,mixed_active
2020-02-27,2.6332046546738955e-5,r,0.5,mixed_active
2020-02-28,2.8121369565363755e-5,r,0.5,mixed_active
2020-02-29,6.17671598471033e-5,r,0.5,mixed_active
2020-03-01,7.182404804893947e-5,r,0.5,mixed_active
2020-03-02,9.947106581727315e-5,r,0.5,mixed_active
2020-03-03,1.3154257709603647e-4,r,0.5,mixed_active
2020-03-04,1.264848628187266e-4,r,0.5,mixed_active
2020-03-05,1.4800712929839122e-4,r,0.5,mixed_active
2020-03-06,2.0881504111327755e-4,r,0.5,mixed_active
2020-03-07,2.5737499450013095e-4,r,0.5,mixed_active
2020-03-08,2.3871476082892523e-4,r,0.5,mixed_active
2020-03-09,2.4343870682689322e-4,r,0.5,mixed_active
2020-03-10,2.6013069473639587e-4,r,0.5,mixed_active
2020-03-11,3.5540882801754394e-4,r,0.5,mixed_active
2020-03-12,3.627752577364035e-4,r,0.5,mixed_active
2020-03-13,3.838293036532396e-4,r,0.5,mixed_active
2020-03-14,6.556387300641538e-4,r,0.5,mixed_active
2020-03-15,8.25501159022437e-4,r,0.5,mixed_active
2020-03-16,0.001032370133419118,r,0.5,mixed_active
2020-03-17,0.0012803355018984946,r,0.5,mixed_active
2020-03-18,0.0026825398994238508,r,0.5,mixed_active
2020-03-19,0.0026182643699226697,r,0.5,mixed_active
2020-03-20,0.0034787157282511025,r,0.5,mixed_active
2020-03-21,0.0032242418995684532,r,0.5,mixed_active
2020-03-22,0.004120214972989401,r,0.5,mixed_active
2020-03-23,0.003720548793660147,r,0.5,mixed_active
2020-03-24,0.004078421580758044,r,0.5,mixed_active
2020-03-25,0.004214646962592194,r,0.5,mixed_active
2020-03-26,0.004242413200582877,r,0.5,mixed_active
2020-03-27,0.0047519656784640735,r,0.5,mixed_active
2020-03-28,0.005267944973319837,r,0.5,mixed_active
2020-03-29,0.006366647834102096,r,0.5,mixed_active
2020-03-30,0.006175602940196739,r,0.5,mixed_active
2020-03-31,0.00849985477032754,r,0.5,mixed_active
2020-04-01,0.009763781089853674,r,0.5,mixed_active
2020-04-02,0.01123002499131328,r,0.5,mixed_active
2020-04-03,0.012525587357923548,r,0.5,mixed_active
2020-04-04,0.01099652319143648,r,0.5,mixed_active
2020-04-05,0.011717220787720901,r,0.5,mixed_active
2020-04-06,0.011880949954044748,r,0.5,mixed_active
2020-04-07,0.014022960444712847,r,0.5,mixed_active
2020-04-08,0.015154765585531384,r,0.5,mixed_active
2020-04-09,0.0201726272903307,r,0.5,mixed_active
2020-04-10,0.04061063072375425,r,0.5,mixed_active
2020-04-11,0.041167997383677095,r,0.5,mixed_active
2020-04-12,0.04495162250695556,r,0.5,mixed_active
2020-04-13,0.04605281546182008,r,0.5,mixed_active
2020-04-14,0.01448591074482381,r,0.5,mixed_active
2020-04-15,0.03637482662412688,r,0.5,mixed_active
2020-04-16,0.040632271482737875,r,0.5,mixed_active
2020-04-17,0.036450646954930825,r,0.5,mixed_active
2020-04-18,0.009215773835600948,r,0.5,mixed_active
2020-04-19,0.008760727661142657,r,0.5,mixed_active
2020-04-20,0.009276365279120378,r,0.5,mixed_active
2020-04-21,0.01134755384882092,r,0.5,mixed_active
2020-04-22,0.009433389614386585,r,0.5,mixed_active
2020-04-23,0.009885307025613342,r,0.5,mixed_active
2020-04-24,0.009587557874993312,r,0.5,mixed_active
2020-04-25,0.010905181633646068,r,0.5,mixed_active
2020-04-26,0.012955534512889767,r,0.5,mixed_active
2020-04-27,0.018171334238224267,r,0.5,mixed_active
2020-04-28,0.011108294264641718,r,0.5,mixed_active
2020-04-29,0.008825967292521473,r,0.5,mixed_active
2020-04-30,0.013503618703889176,r,0.5,mixed_active
2020-05-01,0.0017182020264131842,r,0.5,mixed_active
2020-05-02,0.0020434694120835496,r,0.5,mixed_active
2020-05-03,0.0023090038992688478,r,0.5,mixed_active
2020-05-04,0.002099605061442671,r,0.5,mixed_active
2020-05-05,0.0016088859643416064,r,0.5,mixed_active
2020-05-06,0.001565801825108122,r,0.5,mixed_active
2020-05-07,0.0018068363506322513,r,0.5,mixed_active
2020-05-08,0.0015576376937568373,r,0.5,mixed_active
2020-05-09,0.00222118680824079,r,0.5,mixed_active
2020-05-10,0.0011216157771766187,r,0.5,mixed_active
2020-05-11,0.0015243453570571838,r,0.5,mixed_active
2020-05-12,0.001540144104540743,r,0.5,mixed_active
2020-05-13,0.0017049104615612122,r,0.5,mixed_active
2020-05-14,0.0018086177153990434,r,0.5,mixed_active
2020-05-15,0.001992216730027062,r,0.5,mixed_active
2020-05-16,0.0021287118510035434,r,0.5,mixed_active
2020-05-17,0.001978563608258162,r,0.5,mixed_active
2020-05-18,0.0028962492404422746,r,0.5,mixed_active
2020-05-19,0.0053890558511356795,r,0.5,mixed_active
2020-05-20,0.0031269965346751726,r,0.5,mixed_active
2020-05-21,0.004068813305734783,r,0.5,mixed_active
2020-05-22,0.003564276766075139,r,0.5,mixed_active
2020-05-23,0.005424209445330247,r,0.5,mixed_active
2020-05-24,0.004805582099297502,r,0.5,mixed_active
2020-05-25,0.003737618211195148,r,0.5,mixed_active
2020-05-26,0.0026688403602354656,r,0.5,mixed_active
2020-05-27,0.0027860912474515992,r,0.5,mixed_active
2020-05-28,0.002430453445439979,r,0.5,mixed_active
2020-05-29,0.0032042928445173385,r,0.5,mixed_active
2020-05-30,0.006419006161957801,r,0.5,mixed_active
2020-05-31,0.0025226845962359676,r,0.5,mixed_active
2020-06-01,0.0014518121845714272,r,0.5,mixed_active
2020-06-02,0.0014179562000655127,r,0.5,mixed_active
2020-06-03,0.0011773414050040012,r,0.5,mixed_active
2020-06-04,0.001617092667506194,r,0.5,mixed_active
2020-06-05,0.001833888213106384,r,0.5,mixed_active
2020-06-06,0.0021297639769883876,r,0.5,mixed_active
2020-06-07,0.0031172024465210943,r,0.5,mixed_active
2020-06-08,0.003525021817089313,r,0.5,mixed_active
2020-06-09,0.004257097149346308,r,0.5,mixed_active
2020-06-10,0.004580058554609122,r,0.5,mixed_active
2020-06-11,0.004814899417084657,r,0.5,mixed_active
2020-06-12,0.004062024970678554,r,0.5,mixed_active
2020-06-13,0.005734071863060743,r,0.5,mixed_active
2020-06-14,0.0044051584382225764,r,0.5,mixed_active
2020-06-15,0.006014713880380421,r,0.5,mixed_active
2020-06-16,0.004568569268083902,r,0.5,mixed_active
2020-06-17,0.005117741859944731,r,0.5,mixed_active
2020-06-18,0.004887294821769759,r,0.5,mixed_active
2020-06-19,0.004671867414324275,r,0.5,mixed_active
2020-06-20,0.013473123237539757,r,0.5,mixed_active
2020-06-21,0.014529129250920389,r,0.5,mixed_active
2020-06-22,0.015020913998977916,r,0.5,mixed_active
2020-06-23,0.015494307509431496,r,0.5,mixed_active
2020-06-24,0.020337130574000856,r,0.5,mixed_active
2020-06-25,0.02069511973669846,r,0.5,mixed_active
2020-06-26,0.02085488902538824,r,0.5,mixed_active
2020-06-27,0.020525275985564723,r,0.5,mixed_active
2020-06-28,0.02212378628370392,r,0.5,mixed_active
2020-06-29,0.022549012431415827,r,0.5,mixed_active
2020-06-30,0.021359770412423363,r,0.5,mixed_active
2020-07-01,0.013953187778431044,r,0.5,mixed_active
2020-07-02,0.022338980768231265,r,0.5,mixed_active
2020-07-03,0.01966962116824392,r,0.5,mixed_active
2020-07-04,0.014398281595615448,r,0.5,mixed_active
2020-07-05,0.007702167674333199,r,0.5,mixed_active
2020-07-06,0.02516586421309686,r,0.5,mixed_active
2020-07-07,0.029754867261162457,r,0.5,mixed_active
2020-07-08,0.024278468975954398,r,0.5,mixed_active
2020-07-09,0.031474412505321674,r,0.5,mixed_active
2020-07-10,0.029955657298393282,r,0.5,mixed_active
2020-07-11,0.029431976098154074,r,0.5,mixed_active
2020-07-12,0.030074341667401205,r,0.5,mixed_active
2020-07-13,0.039076140989941034,r,0.5,mixed_active
2020-07-14,0.03401112481071817,r,0.5,mixed_active
2020-07-15,0.03627347645032247,r,0.5,mixed_active
2020-07-16,0.036180947786244415,r,0.5,mixed_active
2020-07-17,0.03166189901872868,r,0.5,mixed_active
2020-07-18,0.02763781294798012,r,0.5,mixed_active
2020-07-19,0.031956900755405075,r,0.5,mixed_active
2020-07-20,0.012770275738274843,r,0.5,mixed_active
2020-07-21,0.012105604112649996,r,0.5,mixed_active
2020-07-22,0.02051093619634616,r,0.5,mixed_active
2020-07-23,0.03773294473163278,r,0.5,mixed_active
2020-07-24,0.03657327213203608,r,0.5,mixed_active
2020-07-25,0.03730558360209649,r,0.5,mixed_active
2020-07-26,0.026488918463642073,r,0.5,mixed_active
2020-07-27,0.024703269640659102,r,0.5,mixed_active
2020-07-28,0.020349127266383157,r,0.5,mixed_active
2020-07-29,0.02393433736937226,r,0.5,mixed_active
2020-07-30,0.02467741863725362,r,0.5,mixed_active
2020-07-31,0.039833941510535494,r,0.5,mixed_active
2020-08-01,0.025909455430853556,r,0.5,mixed_active
2020-08-02,0.0416685993250419,r,0.5,mixed_active
2020-08-03,0.05026425006620116,r,0.5,mixed_active
2020-08-04,0.04975208266607768,r,0.5,mixed_active
2020-08-05,0.050250619220233814,r,0.5,mixed_active
2020-08-06,0.04570954702578693,r,0.5,mixed_active
2020-08-07,0.024630032857072843,r,0.5,mixed_active
2020-08-08,0.04475211967287288,r,0.5,mixed_active
2020-08-09,0.0477243379216216,r,0.5,mixed_active
2020-08-10,0.05880959742943322,r,0.5,mixed_active
2020-08-11,0.04140148946233159,r,0.5,mixed_active
2020-08-12,0.0499450728456422,r,0.5,mixed_active
2020-08-13,0.020148410135704745,r,0.5,mixed_active
2020-08-14,0.028452665174685796,r,0.5,mixed_active
2020-08-15,0.03489850583954635,r,0.5,mixed_active
2020-08-16,0.03880724601959818,r,0.5,mixed_active
2020-08-17,0.03434233136405841,r,0.5,mixed_active
2020-08-18,0.02581192002924747,r,0.5,mixed_active
2020-08-19,0.022216675758725254,r,0.5,mixed_active
2020-08-20,0.02878824730546288,r,0.5,mixed_active
2020-08-21,0.031931453666885226,r,0.5,mixed_active
2020-08-22,0.02921737789458707,r,0.5,mixed_active
2020-08-23,0.019761791987401103,r,0.5,mixed_active
2020-08-24,0.017866915273517907,r,0.5,mixed_active
2020-08-25,0.019047865605864085,r,0.5,mixed_active
2020-08-26,0.016229717079314223,r,0.5,mixed_active
2020-08-27,0.017588259966445703,r,0.5,mixed_active
2020-08-28,0.016368650366537275,r,0.5,mixed_active
2020-08-29,0.019125101176032295,r,0.5,mixed_active
2020-08-30,0.01626632338511881,r,0.5,mixed_active
2020-08-31,0.019035135600247166,r,0.5,mixed_active
2020-09-01,0.022070899777401693,r,0.5,mixed_active
2020-09-02,0.018726093564269162,r,0.5,mixed_active
2020-09-03,0.017747903462002185,r,0.5,mixed_active
2020-09-04,0.018355041674221043,r,0.5,mixed_active
2020-09-05,0.018892531758198085,r,0.5,mixed_active
2020-09-06,0.027280972615420597,r,0.5,mixed_active
2020-09-07,0.0419158920196666,r,0.5,mixed_active
2020-09-08,0.029604129755944623,r,0.5,mixed_active
2020-09-09,0.027073062442742254,r,0.5,mixed_active
2020-09-10,0.024927985054776235,r,0.5,mixed_active
2020-09-11,0.025332247777090484,r,0.5,mixed_active
2020-09-12,0.02558140344868282,r,0.5,mixed_active
2020-09-13,0.030780885360929114,r,0.5,mixed_active
2020-09-14,0.028650279544826508,r,0.5,mixed_active
2020-09-15,0.026518572111936554,r,0.5,mixed_active
2020-09-16,0.028081317092230555,r,0.5,mixed_active
2020-09-17,0.02894198118116571,r,0.5,mixed_active
2020-09-18,0.030605033792211408,r,0.5,mixed_active
2020-09-19,0.029415093732769047,r,0.5,mixed_active
2020-09-20,0.04117959356459941,r,0.5,mixed_active
2020-09-21,0.03613661805239262,r,0.5,mixed_active
2020-09-22,0.036027321445057985,r,0.5,mixed_active
2020-09-23,0.041785777248494596,r,0.5,mixed_active
2020-09-24,0.03571829469583299,r,0.5,mixed_active
2020-09-25,0.034896761054841144,r,0.5,mixed_active
2020-09-26,0.03348941471706175,r,0.5,mixed_active
2020-09-27,0.03587439087409107,r,0.5,mixed_active
2020-09-28,0.054535709445001565,r,0.5,mixed_active
2020-09-29,0.034221190998804336,r,0.5,mixed_active
2020-09-30,0.0534761495271967,r,0.5,mixed_active
2020-10-01,0.05605991640345713,r,0.5,mixed_active
2020-10-02,0.05731056363002802,r,0.5,mixed_active
2020-10-03,0.0610801508874879,r,0.5,mixed_active
2020-10-04,0.035510386662398474,r,0.5,mixed_active
2020-10-05,0.055385291217171534,r,0.5,mixed_active
2020-10-06,0.056315012944745606,r,0.5,mixed_active
2020-10-07,0.05076758440138322,r,0.5,mixed_active
2020-10-08,0.036603351695615446,r,0.5,mixed_active
2020-10-09,0.03643220343571042,r,0.5,mixed_active
2020-10-10,0.0370315107224386,r,0.5,mixed_active
2020-10-11,0.03636015204024076,r,0.5,mixed_active
2020-10-12,0.03751780982088629,r,0.5,mixed_active
2020-10-13,0.034907559190808325,r,0.5,mixed_active
2020-10-14,0.037812021347159684,r,0.5,mixed_active
2020-10-15,0.03842237323939267,r,0.5,mixed_active
