date,num_edge,edge_density,CC_global,assortativity,threshold_val,threshold_type
2020-02-04,32,0.11594202898550723,0.6699029126213593,0.3293747816975201,0.5,r
2020-02-05,31,0.11231884057971016,0.6206896551724138,0.26190476190476125,0.5,r
2020-02-06,28,0.10144927536231885,0.64,0.2799208704253219,0.5,r
2020-02-07,23,0.08333333333333334,0.625,-0.03103448275862085,0.5,r
2020-02-08,21,0.08300395256916995,0.6382978723404256,-0.19461077844311417,0.5,r
2020-02-09,24,0.09486166007905138,0.6,0.07296137339055732,0.5,r
2020-02-10,21,0.08300395256916995,0.5675675675675675,0.24550898203592836,0.5,r
2020-02-11,21,0.1,0.43902439024390244,0.16534181240063597,0.5,r
2020-02-12,20,0.09523809523809523,0.36585365853658536,0.2846924177396282,0.5,r
2020-02-13,17,0.08947368421052632,0.39473684210526316,0.10901467505241094,0.5,r
2020-02-14,15,0.07142857142857142,0.391304347826087,0.11764705882352929,0.5,r
2020-02-15,14,0.08187134502923976,0.2727272727272727,0.16783216783216803,0.5,r
2020-02-16,15,0.08771929824561403,0.3103448275862069,0.14979757085020234,0.5,r
2020-02-17,13,0.08496732026143791,0.375,0.30851063829787206,0.5,r
2020-02-18,8,0.0522875816993464,1,1,0.5,r
2020-02-19,8,0.058823529411764705,1,1,0.5,r
2020-02-20,8,0.058823529411764705,0.6,-0.06666666666666667,0.5,r
2020-02-21,19,0.1111111111111111,0.864406779661017,0.7353760445682449,0.5,r
2020-02-22,19,0.1111111111111111,0.6666666666666666,0.48034188034188047,0.5,r
2020-02-23,17,0.08947368421052632,0.7777777777777778,0.7702702702702705,0.5,r
2020-02-24,37,0.14624505928853757,0.7058823529411765,0.5921460558043402,0.5,r
2020-02-25,41,0.11680911680911682,0.6827586206896552,0.3831626120358512,0.5,r
2020-02-26,159,0.2145748987854251,0.8946488294314381,0.8342984804470692,0.5,r
2020-02-27,180,0.1993355481727575,0.7313691507798961,0.41574430446319743,0.5,r
2020-02-28,181,0.1828282828282828,0.713849908480781,0.4125069415366706,0.5,r
2020-02-29,186,0.15816326530612246,0.6840713813615333,0.47580436325236236,0.5,r
2020-03-01,218,0.14155844155844155,0.7507692307692307,0.6523614590334206,0.5,r
2020-03-02,397,0.17955676164631387,0.7988752894475687,0.6534890112967333,0.5,r
2020-03-03,401,0.1613682092555332,0.7921256998374571,0.7221229812279111,0.5,r
