ref_date,stat,value,type
2020-03-11,CC_global,0.6281050390347764,actual
2020-03-11,assortativity,0.4827972765546905,actual
2020-03-12,num_edge,721,actual
2020-03-12,edge_density,0.11393805309734514,actual
2020-03-12,CC_global,0.61125518672199175,actual
2020-03-12,assortativity,0.4723219072999002,actual
2020-03-13,num_edge,1215,actual
2020-03-13,edge_density,0.15932336742722267,actual
2020-03-13,CC_global,0.6624832425340141,actual
2020-03-13,assortativity,0.565619276373139,actual
2020-03-14,num_edge,1185,actual
2020-03-14,edge_density,0.13705759888965996,actual
2020-03-14,CC_global,0.6613912021839041,actual
2020-03-14,assortativity,0.6092231950703016,actual
2020-03-15,num_edge,1355,actual
2020-03-15,edge_density,0.14127828172244813,actual
2020-03-15,CC_global,0.6279531706142595,actual
2020-03-15,assortativity,0.47806956049333427,actual
2020-03-16,num_edge,1463,actual
2020-03-16,edge_density,0.13633398564905413,actual
2020-03-16,CC_global,0.6115411477127226,actual
2020-03-16,assortativity,0.4191977571471669,actual
2020-03-17,num_edge,1631,actual
2020-03-17,edge_density,0.14993564993564992,actual
2020-03-17,CC_global,0.6385235014353657,actual
2020-03-17,assortativity,0.5665545451924612,actual
2020-03-18,num_edge,2309,actual
2020-03-18,edge_density,0.19346459991621281,actual
2020-03-18,CC_global,0.6651120179895061,actual
2020-03-18,assortativity,0.566732258599172,actual
2020-03-19,num_edge,2131,actual
2020-03-19,edge_density,0.161402711504961,actual
2020-03-19,CC_global,0.6159410600631118,actual
2020-03-19,assortativity,0.559070396154471,actual
2020-03-20,num_edge,2042,actual
2020-03-20,edge_density,0.15466181928349618,actual
2020-03-20,CC_global,0.5764230123607508,actual
2020-03-20,assortativity,0.5059381349159024,actual
2020-03-21,num_edge,1785,actual
2020-03-21,edge_density,0.13519654623949104,actual
2020-03-21,CC_global,0.5283073249063285,actual
2020-03-21,assortativity,0.48671655085822735,actual
2020-03-22,num_edge,1597,actual
2020-03-22,edge_density,0.12095735817617208,actual
2020-03-22,CC_global,0.5187711491833418,actual
2020-03-22,assortativity,0.48061446455780554,actual
2020-03-23,num_edge,1487,actual
2020-03-23,edge_density,0.11125243154272033,actual
2020-03-23,CC_global,0.5318945760122231,actual
2020-03-23,assortativity,0.4969452437797911,actual
2020-03-24,num_edge,1387,actual
2020-03-24,edge_density,0.1037707616339967,actual
2020-03-24,CC_global,0.5134706814580031,actual
2020-03-24,assortativity,0.48070148487421827,actual
2020-03-25,num_edge,1308,actual
2020-03-25,edge_density,0.09786024240610504,actual
2020-03-25,CC_global,0.49506454062262717,actual
2020-03-25,assortativity,0.41805516497367745,actual
2020-03-26,num_edge,1204,actual
2020-03-26,edge_density,0.09007930570103248,actual
2020-03-26,CC_global,0.44240340705013087,actual
2020-03-26,assortativity,0.3522019764982302,actual
2020-03-27,num_edge,1135,actual
2020-03-27,edge_density,0.08596531091418617,actual
2020-03-27,CC_global,0.44105386026346505,actual
2020-03-27,assortativity,0.4661815356364791,actual
2020-03-28,num_edge,1119,actual
2020-03-28,edge_density,0.08475346512156327,actual
2020-03-28,CC_global,0.4272643572332835,actual
2020-03-28,assortativity,0.4054022360189573,actual
2020-03-29,num_edge,1037,actual
2020-03-29,edge_density,0.07854275543437098,actual
2020-03-29,CC_global,0.39959531119173874,actual
2020-03-29,assortativity,0.35134478438822137,actual
2020-03-30,num_edge,1035,actual
2020-03-30,edge_density,0.07839127471029311,actual
2020-03-30,CC_global,0.39479269845761994,actual
2020-03-30,assortativity,0.37811173228292594,actual
2020-03-31,num_edge,974,actual
2020-03-31,edge_density,0.07377111262591836,actual
2020-03-31,CC_global,0.391304347826087,actual
2020-03-31,assortativity,0.31042150667767776,actual
2020-04-01,num_edge,886,actual
2020-04-01,edge_density,0.06710596076649246,actual
2020-04-01,CC_global,0.38899226324551955,actual
2020-04-01,assortativity,0.29123337176084674,actual
2020-04-02,num_edge,934,actual
2020-04-02,edge_density,0.06987879694747869,actual
2020-04-02,CC_global,0.39133879059941906,actual
2020-04-02,assortativity,0.3142450593739238,actual
2020-04-03,num_edge,982,actual
2020-04-03,edge_density,0.07346999850366602,actual
2020-04-03,CC_global,0.3864971433169711,actual
2020-04-03,assortativity,0.30863532193033477,actual
2020-04-04,num_edge,937,actual
2020-04-04,edge_density,0.07010324704474039,actual
2020-04-04,CC_global,0.3640401527938172,actual
2020-04-04,assortativity,0.2821087024458419,actual
2020-04-05,num_edge,890,actual
2020-04-05,edge_density,0.06658686218764027,actual
2020-04-05,CC_global,0.3585680751173709,actual
2020-04-05,assortativity,0.2734311625725843,actual
2020-04-06,num_edge,882,actual
2020-04-06,edge_density,0.06598832859494239,actual
2020-04-06,CC_global,0.36848893739458277,actual
2020-04-06,assortativity,0.27595382972067756,actual
2020-04-07,num_edge,930,actual
2020-04-07,edge_density,0.06957953015112973,actual
2020-04-07,CC_global,0.3725612472160356,actual
2020-04-07,assortativity,0.21698165277818082,actual
2020-04-08,num_edge,912,actual
2020-04-08,edge_density,0.06823282956755948,actual
2020-04-08,CC_global,0.370216306156406,actual
2020-04-08,assortativity,0.22225021333224593,actual
2020-04-09,num_edge,887,actual
2020-04-09,edge_density,0.06636241209037858,actual
2020-04-09,CC_global,0.35594202898550725,actual
2020-04-09,assortativity,0.21379711982076013,actual
2020-04-10,num_edge,874,actual
2020-04-10,edge_density,0.0653897950022445,actual
2020-04-10,CC_global,0.35633213859020313,actual
2020-04-10,assortativity,0.27001482216011075,actual
2020-04-11,num_edge,906,actual
2020-04-11,edge_density,0.06778392937303607,actual
2020-04-11,CC_global,0.3595495072735805,actual
2020-04-11,assortativity,0.23112724933237724,actual
2020-04-12,num_edge,884,actual
2020-04-12,edge_density,0.06613796199311686,actual
2020-04-12,CC_global,0.36177507836990597,actual
2020-04-12,assortativity,0.24097058960523818,actual
2020-04-13,num_edge,829,actual
2020-04-13,edge_density,0.06202304354331887,actual
2020-04-13,CC_global,0.35595461055414784,actual
2020-04-13,assortativity,0.3039077772911921,actual
2020-04-14,num_edge,818,actual
2020-04-14,edge_density,0.06120005985335927,actual
2020-04-14,CC_global,0.3583106267029973,actual
2020-04-14,assortativity,0.3284506556483073,actual
2020-04-15,num_edge,826,actual
2020-04-15,edge_density,0.061798593446057155,actual
2020-04-15,CC_global,0.364019520851819,actual
2020-04-15,assortativity,0.32963594645333133,actual
2020-04-16,num_edge,853,actual
2020-04-16,edge_density,0.06381864432141254,actual
2020-04-16,CC_global,0.3757026858213616,actual
2020-04-16,assortativity,0.3385479099610095,actual
2020-04-17,num_edge,837,actual
2020-04-17,edge_density,0.06418219461697723,actual
2020-04-17,CC_global,0.39732189559577363,actual
2020-04-17,assortativity,0.30939519047314107,actual
2020-04-18,num_edge,845,actual
2020-04-18,edge_density,0.0656055900621118,actual
2020-04-18,CC_global,0.38003484677667315,actual
2020-04-18,assortativity,0.2802050832704424,actual
2020-04-19,num_edge,811,actual
2020-04-19,edge_density,0.06296583850931678,actual
2020-04-19,CC_global,0.3942470389170897,actual
2020-04-19,assortativity,0.25028491771489214,actual
2020-04-20,num_edge,782,actual
2020-04-20,edge_density,0.06147798742138365,actual
2020-04-20,CC_global,0.34887218045112783,actual
2020-04-20,assortativity,0.19320331561391282,actual
2020-04-21,num_edge,775,actual
2020-04-21,edge_density,0.06169890932250617,actual
2020-04-21,CC_global,0.3471325484238511,actual
2020-04-21,assortativity,0.2909891590818498,actual
2020-04-22,num_edge,769,actual
2020-04-22,edge_density,0.06122124034710612,actual
2020-04-22,CC_global,0.3461242299794661,actual
2020-04-22,assortativity,0.3240358481835095,actual
2020-04-23,num_edge,710,actual
2020-04-23,edge_density,0.057244215109247765,actual
2020-04-23,CC_global,0.34418116376724656,actual
2020-04-23,assortativity,0.33570732357551153,actual
2020-04-24,num_edge,679,actual
2020-04-24,edge_density,0.054744819801660884,actual
2020-04-24,CC_global,0.33388375165125495,actual
2020-04-24,assortativity,0.3014408791949369,actual
2020-04-25,num_edge,706,actual
2020-04-25,edge_density,0.05765147803364364,actual
2020-04-25,CC_global,0.3346326836581709,actual
2020-04-25,assortativity,0.343598658182288,actual
2020-04-26,num_edge,674,actual
2020-04-26,edge_density,0.056472559698366155,actual
2020-04-26,CC_global,0.3318019397651863,actual
2020-04-26,assortativity,0.2332176948343164,actual
2020-04-27,num_edge,711,actual
2020-04-27,edge_density,0.058808933002481384,actual
2020-04-27,CC_global,0.344879745878082,actual
2020-04-27,assortativity,0.2341570580362213,actual
2020-04-28,num_edge,687,actual
2020-04-28,edge_density,0.057561793045664014,actual
2020-04-28,CC_global,0.3427729579309216,actual
2020-04-28,assortativity,0.2374903540816528,actual
2020-04-29,num_edge,709,actual
2020-04-29,edge_density,0.0586435070306038,actual
2020-04-29,CC_global,0.33992640294388227,actual
2020-04-29,assortativity,0.23198597564066423,actual
2020-04-30,num_edge,719,actual
2020-04-30,edge_density,0.05871304915890903,actual
2020-04-30,CC_global,0.3328260538730787,actual
2020-04-30,assortativity,0.17088293103452368,actual
2020-05-01,num_edge,732,actual
2020-05-01,edge_density,0.05977462028417442,actual
2020-05-01,CC_global,0.32538056206088994,actual
2020-05-01,assortativity,0.05345569257241055,actual
2020-05-02,num_edge,744,actual
2020-05-02,edge_density,0.06075453209211171,actual
2020-05-02,CC_global,0.32680639823496965,actual
2020-05-02,assortativity,0.2083303128527492,actual
2020-05-03,num_edge,748,actual
2020-05-03,edge_density,0.06030799000241877,actual
2020-05-03,CC_global,0.3148614609571788,actual
2020-05-03,assortativity,0.17849723624445188,actual
2020-05-04,num_edge,710,actual
2020-05-04,edge_density,0.057978115302956074,actual
2020-05-04,CC_global,0.31789602821653123,actual
2020-05-04,assortativity,0.0928169770441999,actual
2020-05-05,num_edge,698,actual
2020-05-05,edge_density,0.05773366418527709,actual
2020-05-05,CC_global,0.3106241067174845,actual
2020-05-05,assortativity,0.1440083810509462,actual
2020-05-06,num_edge,701,actual
2020-05-06,edge_density,0.057243181447003105,actual
2020-05-06,CC_global,0.3007036747458952,actual
2020-05-06,assortativity,0.22759898312794308,actual
2020-05-07,num_edge,713,actual
2020-05-07,edge_density,0.05974025974025973,actual
2020-05-07,CC_global,0.3198429477499245,actual
2020-05-07,assortativity,0.23762767180440586,actual
2020-05-08,num_edge,675,actual
2020-05-08,edge_density,0.057295645530939646,actual
2020-05-08,CC_global,0.2951967978652435,actual
2020-05-08,assortativity,0.18002254298266857,actual
2020-05-09,num_edge,673,actual
2020-05-09,edge_density,0.057125880655292414,actual
2020-05-09,CC_global,0.33311464654748235,actual
2020-05-09,assortativity,0.27578247099649,actual
2020-05-10,num_edge,689,actual
2020-05-10,edge_density,0.05772936740678676,actual
2020-05-10,CC_global,0.32936010037641156,actual
2020-05-10,assortativity,0.21881615484584083,actual
2020-05-11,num_edge,632,actual
2020-05-11,edge_density,0.053645700704524235,actual
2020-05-11,CC_global,0.3113580711998493,actual
2020-05-11,assortativity,0.2287439507931651,actual
