regionID,region_CODE,region_WB,region_EN,pop
172,FJI,Fiji,Fiji,883483
173,NCL,New Caledonia,New Caledonia,284060
174,NIC,Nicaragua,Nicaragua,6465513
175,NER,Niger,Niger,22442948
176,SXM,Sint Maarten (Dutch part),Sint Maarten,40654
177,,,Angola,
178,,,Anguilla,
179,,,Belize,
180,,,"Bonaire, Sint Eustatius and Saba",
181,,,Botswana,
182,,,British Virgin Islands,
183,,,Burundi,
184,,,Cabo Verde,
185,,,China,
186,,,Comoros,
187,,,Dominica,
188,,,Eritrea,
189,,,Falkland Islands,
190,,,Grenada,
191,,,Guinea-Bissau,
192,,,Haiti,
193,,,Isle of Man,
194,,,Kosovo,
195,,,Lao People's Democratic Republic,
196,,,Lesotho,
197,,,Libya,
198,,,Madagascar,
199,,,Malawi,
200,,,Mali,
201,,,Mozambique,
202,,,Myanmar,
203,,,Northern Mariana Islands,
204,,,Papua New Guinea,
205,,,Saint Kitts and Nevis,
206,,,Saint Pierre and Miquelon,
207,,,Sao Tome and Principe,
208,,,Sierra Leone,
209,,,South Sudan,
210,,,Syrian Arab Republic,
211,,,Tajikistan,
212,,,Timor-Leste,
213,,,Turks and Caicos Islands,
214,,,Uganda,
215,,,Yemen,
216,,,Zimbabwe,
